id,name,latitude,longitude
1,Deutschkreutz,47.5932902,16.63440143578873
2,Nikitsch,47.53533,16.6603337
3,Kroatisch Minihof,47.5267217,16.6462403
4,Kleinwarasdorf,47.5412082,16.5861713
5,Großwarasdorf,47.5396097,16.552785
6,Kroatisch Geresdorf,47.4909895,16.6108701
7,Lutzmannsburg,47.4637739,16.6402144
8,Horitschon,47.5848329,16.54783845015961
9,Unterpetersdorf,47.591025,16.5815213
